Deer_ID,Status,COD,Mortality,Censor,Removed_from_study_date,Date,#_Magnets_Removed,Collar_Frequency,Collar_Picture_Taken,Collar_ID_Iridium,Pregnant?,Preg_determined,PSPB,VIT_ID_Iridium,VIT_Frequency,VIT_antenna_out_cm,ISTAT_ID,Sex,Age,Weight,Left_Ear_Tag_Color_#,Right_Ear_Tag_Color_#,Left_Metal_Ear_Tag,Right_Metal_Ear_Tag,Comment
2023_WTD_AMES_15,Euthanized 03-25-2023 at 1130,capture myopathy,1,,03/25/2023,03/25/2023,NA,NA,NA,NA,NA,NA,,NA,NA,,600,M,3,NA,yellow/086,yellow/019,76,28,
2023_WTD_AMES_16,Confirmed mortality 05-22-2023 at 0507,unknown,1,,05/22/2023,03/26/2023,1,151.52,NA,151564,y,PSPB test,,NA,NA,,,F,2,121,yellow/073,yellow/030,81,35,
2023_WTD_AMES_17,Shot by hunter on 12-30-2023,Shot by hunter on 12/30/2023,1,,12/30/2023,03/26/2023,1,151.63,Yes,151575,y,PSPB test,,NA,NA,,,F,4,119,yellow/039,yellow/081,71,90,
2023_WTD_AMES_18,Last fix on 08/27/2024 ,,,1,08/27/2024,03/26/2023,1,151.5,Yes,151562,y,PSPB test,,NA,NA,,AAA,F,3,123,yellow/066,yellow/071,46,54,
2023_WTD_AMES_19,Confirmed mortality 03-29-2023 at 0748,capture myopathy,1,,03/29/2023,03/26/2023,1,151.55,NA,151567,NA,NA,,NA,NA,,1111,F,3,NA,yellow/041,yellow/074,74,41,
2023_WTD_AMES_20,only tagged,,,,NA,03/26/2023,NA,NA,NA,NA,y,PSPB test,,NA,NA,,2222,F,1,105,yellow/033,yellow/032,11,12,
2023_WTD_AMES_21,Collar battery dead; Last fix on 08-20-2023; Attempted to blow off collar,,,1,08/20/2023,03/26/2023,1,151.99,NA,151611,NA,NA,,NA,NA,,611,M,2,128,yellow/043,yellow/082,68,63,
2023_WTD_AMES_22,only tagged,,,,NA,03/26/2023,1,NA,NA,NA,y,PSPB test,,NA,NA,,,F,1,95,yellow/096,yellow/018,60,25,
2023_WTD_AMES_23,Shot by hunter on 12-27-2023,Shot by hunter on 12/27/2023,1,,12/27/2023,03/26/2023,1,151.87,NA,151599,NA,NA,,NA,NA,,,M,5,168,yellow/ 068,yellow/ 050,65,66,
2023_WTD_AMES_24,Confirmed mortality,,1,,04/13/2024,03/27/2023,1,151.59,NA,151571,y,PSPB test,,NA,NA,,,F,4,113,yellow/075,yellow/017,94,21,
2023_WTD_AMES_25,Last fix on 11-19-2024,,,1,11/19/2024,03/27/2023,1,151.77,NA,151589,y,PSPB test,,NA,NA,,,F,3,118,yellow/022,yellow/092,86,92,
2023_WTD_AMES_26,"Presumed collar slip, found 03-30-2023 at 0923",NA,,1,03/30/2023,03/27/2023,1,151.88,NA,151600,y,PSPB test,,NA,NA,,4444,F,6,120,yellow/059,yellow/058,45,48,given buck collar (fell off two days later)
2023_WTD_AMES_27,Mortality 03-27-2023 at 1130,capture myopathy,1,,03/27/2023,03/27/2023,NA,NA,NA,NA,NA,NA,,NA,NA,,"576,576A",F,3,99,yellow/002,yellow/098,89,26,
2023_WTD_AMES_28,Mortality. Hunter harvest on private land: 11/29/24,Hunter harvest on private property adjacent to Ames,1,,11/29/2024,01/26/2024,1,151.18,Yes,155161,y,ultrasound,Pregnant,NA,NA,NA,NA,F,2,117,green/069,green/071,NA,NA,"VIT was not activated before insertion, was removed and NOT replaced -- deer does not have a VIT"
2023_WTD_AMES_29,Mortality 03/30,Unknown,1,,04/09/2024,01/26/2024,1,151.11,Yes,155154,y,ultrasound,Pregnant,20632,152.32,15,,F,3,109,green/093,green/031,NA,NA,
